model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_30,0.0001,0.001,True,10,5000,229,180554.47598253275,5.681222707423581,24.04366812227074,0.12071122864597447,0.0792303180141959,0.1822233353919908,0.11767891357101316,0.1019708229379434,0.2518933787621175,0.048162555611993195,0.1052953278637398,5.4284109589041165,6.479304109589047,1.775938275855162,-5.670612912634876,-7.781267089536576,-9.034499797983154,1.502183406113537,22.541484716157207,4.179039301310044,0.9695953420669575
model_31,0.0001,0.001,True,50,500,229,180554.47598253275,5.681222707423581,61.2532751091703,0.14194026831523662,0.11527710038573352,0.26713838488381164,0.21902069993546452,0.3362365981907467,0.5056967809568631,0.07273026169423563,0.1152466233365151,3.784381502890175,5.449604624277456,4.251868424381774,-7.012028096196091,-12.473783888479808,-7.652329239355542,2.8951965065502185,57.11353711790393,2.7860262008733625,2.365496360989811
model_32,0.0001,0.001,True,50,1000,229,180554.47598253275,5.681222707423581,49.03930131004367,0.15287401030901515,0.11993262836258524,0.27981950513586495,0.22022417039237116,0.29562903168413057,0.49076868382352584,0.07635373509329423,0.1243764236229502,4.1757325581395355,5.823102325581395,3.418437492178453,-6.071752386144249,-10.433918472432062,-7.340451002388988,2.7816593886462884,45.724890829694324,2.8995633187772927,2.155129548762737
model_33,0.0001,0.001,True,50,2000,229,180554.47598253275,5.681222707423581,35.96943231441048,0.15180725691371055,0.10860798703299174,0.2576149881707635,0.18066253414755318,0.1853478046484725,0.4070434178801762,0.07152050520344776,0.12890211185100078,5.172084848484846,6.555261818181817,2.5313991640760305,-5.560728881636398,-8.749538954539595,-7.721782360468641,2.3231441048034935,33.61135371179039,3.3580786026200875,1.5770276564774381
model_34,0.0001,0.001,True,50,3000,229,180554.47598253275,5.681222707423581,28.724890829694324,0.142535099813685,0.09968487884131605,0.22856508260927927,0.15658095105474756,0.15073205471355997,0.3321080976134919,0.06402234044263165,0.12483054911609309,5.143179487179485,6.429225641025637,2.055669653380263,-5.530858808304931,-8.065159847281333,-8.368511782266513,1.8908296943231442,26.83406113537118,3.7903930131004366,1.2400553129548768
model_35,0.0001,0.001,True,50,5000,229,180554.47598253275,5.681222707423581,20.69868995633188,0.11674041054498024,0.07919452474108832,0.17048029897783007,0.11267210036395015,0.09825385035377329,0.22411991745731794,0.06070551032553691,0.11120443730144518,5.320196969696972,6.3698196969696985,1.523355441171027,-5.5368917613463315,-7.340122788742707,-9.176760963805348,1.3231441048034935,19.375545851528383,4.358078602620087,0.8747772925764189
model_36,0.0001,0.001,True,100,500,229,180554.47598253275,5.681222707423581,55.97379912663755,0.12985841439499182,0.1062275240800476,0.24572145046580146,0.20318051502287277,0.309497877539876,0.4634196985051082,0.06274853121977704,0.10618626561771041,3.7209500000000117,5.358508750000004,3.9100794859609165,-6.839406936141799,-11.835112829576829,-7.883038705581489,2.646288209606987,52.2532751091703,3.034934497816594,2.153554585152838
model_37,0.0001,0.001,True,100,1000,229,180554.47598253275,5.681222707423581,45.585152838427945,0.13767921686902498,0.10923155546274832,0.25301986705945134,0.2020705711645157,0.2665972131872466,0.4446223126418349,0.0663545511425286,0.11413728884364031,4.236475000000013,5.720178750000004,3.204746316290384,-6.091566708678775,-10.15401833203166,-7.689161857701022,2.519650655021834,42.60262008733624,3.1615720524017465,1.9556943231441044
model_38,0.0001,0.001,True,100,2000,229,180554.47598253275,5.681222707423581,33.81659388646288,0.13548091754321753,0.09900120289035606,0.23139182207998926,0.16668582308409058,0.172482925998852,0.3632907407117528,0.06202168166387597,0.1175467573933083,5.146710526315793,6.466692105263165,2.398615247944339,-5.65636950364169,-8.65829358615735,-8.085538466750672,2.096069868995633,31.689956331877728,3.5851528384279474,1.4432925764192128
model_39,0.0001,0.001,True,100,3000,229,180554.47598253275,5.681222707423581,27.209606986899562,0.12999838415676507,0.09233793444717409,0.2077545100833824,0.14564682938435594,0.138933706288574,0.2974390366889725,0.05735904057130275,0.11718468226015806,5.251661971830991,6.462015492957752,1.9547524209615368,-5.6112474273344795,-8.016808661232353,-8.639907858420475,1.7161572052401746,25.49344978165939,3.965065502183406,1.1364337700145553
model_40,0.0001,0.001,True,100,5000,229,180554.47598253275,5.681222707423581,19.676855895196507,0.11168331123983635,0.07921222222018821,0.16146299460017083,0.11242277290635373,0.0999361442849755,0.2064287515578294,0.056633858359511076,0.10823229488940303,5.2409677419354885,6.328114516129036,1.4513869928617533,-5.579289745853606,-7.301822171200998,-9.338110869424451,1.2358078602620088,18.441048034934497,4.445414847161572,0.8321222707423576
