model_id,drift_confidence,warning_confidence,two_side_option,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_25,0.0001,0.001,True,1,5000,34,127232.0,2.8529411764705883,26.0,0.08526317635169836,0.05428408313188522,0.22481416918245836,0.14615855829737723,0.1616013071895425,0.48227124183006537,0.015837104072398165,0.049773755656108566,5.393440000000002,6.531279999999998,2.9126967688483845,-3.078587744897568,-5.362703383204616,-3.5541769845675724,1.2941176470588236,24.705882352941178,1.5588235294117647,0.794274509803922
model_26,0.0001,0.001,True,10,500,34,127232.0,2.8529411764705883,248.0,0.024112155951693342,0.023941843773775964,0.10373094587558698,0.10293172560379091,0.9852941176470589,1.0,0.01155664103582286,0.012324183927742857,1.120764705882353,1.5694647058823543,27.73650173097408,-19.317853370526368,-40.964075848467765,-8.700624484496847,2.8529411764705883,235.26470588235293,0.0,2.8321372549019608
model_27,0.0001,0.001,True,10,1000,34,127232.0,2.8529411764705883,125.82352941176471,0.045063066862901235,0.04376636271623598,0.17556892656896447,0.17076898239787508,0.9361928104575163,0.9967320261437908,0.020564940813878756,0.02346182459202347,2.321705882352946,3.0889647058823586,14.091904367380755,-8.845451231171397,-19.8962306380744,-3.5553556453669564,2.823529411764706,119.52941176470588,0.029411764705882353,2.7359019607843136
model_28,0.0001,0.001,True,10,2000,34,127232.0,2.8529411764705883,63.8235294117647,0.08114512562555666,0.06538711352907375,0.2755479231121416,0.2197574843198334,0.4290032679738562,0.9869281045751634,0.019337943510737622,0.043615306712320015,4.46376470588235,5.574882352941181,7.1326395875251505,-3.717878538468762,-9.287244393503864,-1.2273132580100339,2.735294117647059,60.5,0.11764705882352941,2.1789411764705866
model_29,0.0001,0.001,True,10,3000,34,127232.0,2.8529411764705883,42.970588235294116,0.08653350636839087,0.06520306628242409,0.2650706883656618,0.19879778867521092,0.3631535947712418,0.7438725490196079,0.021887824897400782,0.047895902547065286,4.6891612903225806,5.995090322580648,4.823287149366789,-3.074562443029768,-6.814304872356895,-2.0870441695426756,2.0588235294117645,40.911764705882355,0.7941176470588235,1.5222352941176474
model_30,0.0001,0.001,True,10,5000,34,127232.0,2.8529411764705883,26.0,0.08946485702396727,0.05727537970424193,0.2381831531396776,0.15624821494105154,0.205718954248366,0.5116830065359477,0.019230769230769208,0.05203619909502259,5.2675384615384635,6.396692307692309,2.9057617765416026,-2.973971396158081,-5.251616649397201,-3.393972298950286,1.3529411764705883,24.647058823529413,1.5,0.8347058823529414
model_31,0.0001,0.001,True,50,500,34,127232.0,2.8529411764705883,243.5,0.024553873681693397,0.024370246882120614,0.1053998806025011,0.10454338463849978,0.9852941176470589,1.0,0.011758155294521127,0.01255466787564335,1.0929411764705856,1.5286352941176455,27.216377307965438,-18.881256932775283,-40.11396890089608,-8.441371536950173,2.8529411764705883,230.85294117647058,0.0,2.832529411764706
model_32,0.0001,0.001,True,50,1000,34,127232.0,2.8529411764705883,124.97058823529412,0.04542460302894055,0.04410835098122199,0.17661404276127224,0.17183605256168577,0.9475490196078432,0.9967320261437908,0.020687176355881635,0.02365972695488387,2.704058823529408,3.3715764705882325,13.9982819712392,-8.738674088393509,-19.70631526872402,-3.490147615875313,2.823529411764706,118.73529411764706,0.029411764705882353,2.7351176470588237
model_33,0.0001,0.001,True,50,2000,34,127232.0,2.8529411764705883,63.5,0.0811463428004473,0.06541949569426683,0.27612907396911834,0.2208371406780483,0.393218954248366,0.9869281045751634,0.0175799486461251,0.04358119999718551,4.317294117647059,5.402829411764708,7.101432122144632,-3.7249144636604874,-9.265121391528126,-1.2783404114913746,2.735294117647059,60.23529411764706,0.11764705882352941,2.1777254901960776
model_34,0.0001,0.001,True,50,3000,34,127232.0,2.8529411764705883,42.8235294117647,0.08797899755856585,0.06401133543437845,0.2680667585125629,0.19428427831913167,0.30212418300653593,0.7585784313725491,0.01853299459318608,0.04879160966712262,4.888258064516127,5.985187096774194,4.802482172446443,-3.044259786622406,-6.764613265755536,-2.037024223526429,2.088235294117647,40.73529411764706,0.7647058823529411,1.4840196078431374
